inbox.ru,Почта Mail.Ru (inbox.ru),https://e.mail.ru/
yandex.ru,Яндекс.Почта,https://mail.yandex.ru/
ya.ru,Яндекс.Почта,https://mail.yandex.ru/
yandex.by,Яндекс.Почта,https://mail.yandex.by/
yandex.com,Yandex.Mail,https://mail.yandex.com/
gmail.com,Gmail,https://mail.google.com/
googlemail.com,Gmail,https://mail.google.com/
outlook.com,Outlook.com,https://mail.live.com/
hotmail.com,Outlook.com (Hotmail),https://mail.live.com/
live.ru,Outlook.com (live.ru),https://mail.live.com/
live.com,Outlook.com (live.com),https://mail.live.com/
me.com,iCloud Mail,https://www.icloud.com/
icloud.com,iCloud Mail,https://www.icloud.com/
rambler.ru,Рамблер-Почта,https://mail.rambler.ru/
yahoo.com,Yahoo! Mail,https://mail.yahoo.com/
tut.by,Почта tut.by,https://mail.tut.by/
mail.ru,Почта Mail.Ru,https://e.mail.ru/
